Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,171.0,175.0,170.0,175.0,160.21005249023438,7847175
2020-01-03,177.5,178.0,169.5,171.5,157.005859375,7772132
2020-01-06,170.0,171.0,168.5,170.0,155.63262939453125,2382958
2020-01-07,172.0,172.5,162.0,162.0,148.30873107910156,6863208
2020-01-08,158.5,165.5,158.0,165.0,151.05520629882812,4033239
2020-01-09,166.0,168.5,164.0,168.0,153.80165100097656,5416929
2020-01-10,170.5,171.0,164.0,165.5,151.51295471191406,4697637
2020-01-13,167.5,168.0,164.5,168.0,153.80165100097656,2675453
2020-01-14,169.0,173.0,167.5,168.5,154.25938415527344,5346838
2020-01-15,169.0,169.5,166.0,168.0,153.80165100097656,4804539
2020-01-16,169.0,170.5,167.5,168.5,154.25938415527344,3190523
2020-01-17,170.0,174.0,170.0,173.5,158.8368377685547,6796597
2020-01-20,175.0,175.5,171.5,174.0,159.29457092285156,5082416
2020-01-30,167.0,167.5,158.0,159.0,145.56228637695312,7846957
2020-01-31,161.0,165.5,161.0,163.0,149.22422790527344,5199056
2020-02-03,158.5,165.0,151.0,164.0,150.13970947265625,6575091
2020-02-04,165.0,171.0,164.5,171.0,156.54811096191406,6144910
2020-02-05,171.0,175.0,168.5,173.5,158.8368377685547,6116006
2020-02-06,175.0,177.5,174.5,176.0,161.1255340576172,5316297
2020-02-07,177.0,179.5,173.5,174.0,159.29457092285156,9352465
2020-02-10,173.0,181.5,170.5,181.5,166.16073608398438,10084321
2020-02-11,184.0,186.0,181.0,184.0,168.44943237304688,9742242
2020-02-12,186.0,189.5,181.0,183.0,167.533935546875,10818988
2020-02-13,183.5,184.5,178.5,179.5,164.32974243164062,7100043
2020-02-14,180.0,182.5,179.0,182.5,167.07620239257812,4398721
2020-02-17,181.0,184.0,179.5,183.5,167.99168395996094,4799215
2020-02-18,183.0,185.0,180.0,180.5,165.2452392578125,4909960
2020-02-19,181.0,184.5,181.0,182.0,166.61846923828125,4340194
2020-02-20,183.5,188.0,182.5,183.5,167.99168395996094,8661611
2020-02-21,183.5,186.5,179.5,179.5,164.32974243164062,5610855
2020-02-24,176.5,177.5,173.0,176.0,161.1255340576172,5812053
2020-02-25,174.5,177.5,172.5,175.5,160.6678009033203,4049767
2020-02-26,174.0,175.5,171.5,171.5,157.005859375,5019954
2020-02-27,172.5,174.5,163.5,163.5,149.6819610595703,8680755
2020-03-02,160.0,165.5,158.0,162.0,148.30873107910156,6165770
2020-03-03,166.0,167.5,163.5,165.5,151.51295471191406,5954515
2020-03-04,165.0,168.5,162.5,168.5,154.25938415527344,4341308
